ID,Anio,IVP,Salario Minimo,Concepto,TipoCT,Consecutivo,SIGAU,Especie,Tratamiento,Espacio,Estrato,Localidad,Latitud,Longitud,PAP,DAP,Altura Total,Altura Comercial,Diam. Copa Polar,Diam. Copa Ecuatorial,Perimetro basal,Estado fuste,Estado Copa,Estado Raiz,Estado FitoSanitario,Estado General,Riesgo,Interes patrimonial,Autorizado
1,2021,0.4379,908526,2021EE27328,Manejo,SSFFS-27328,15006156768445,urapan fresno,Poda aclareo,Publico,4,ANTONIO NARIÑO,4.5894744864434385,-74.08589641012512,16.32,51.27,19.08,0.45,5.32,224.69,56.4,4,3,4,5,Bueno,Bajo,No,UAESP
2,2023,0.4581,1160000,2023EE52140,Manejo,SSFFS-52140,03670863892534,cariseco,Poda realce,Privado,2,SANTA FE,4.581724039778763,-74.01322294882974,1.38,4.34,8.55,6.96,4.81,8.69,4.77,4,4,4,4,Bueno,Bajo,No,JBB
3,2024,0.4476,1300000,2024EE07335,Manejo,SSFFS-07335,03275871466553,araucaria,Conservar,Privado,4,SANTA FE,4.597131488407407,-74.06222541226026,82.02,257.67,37.25,16.71,11.91,6.29,283.44,5,4,5,4,Bueno,Bajo,No,OTRO
4,2022,0.432,1000000,2022EE37366,Manejo,SSFFS-37366,01095121409588,liquidambar,Tala,Privado,1,USAQUEN,4.735476559504768,-74.02330501939363,0.45,1.41,6.33,5.24,8.51,10.48,1.56,1,1,1,1,Muy Malo,Muy Alto,No,JBB
5,2022,0.432,1000000,2022EE02656,Infraestructura,SSFFS-02656,13915124487758,cayeno,Poda aclareo,Privado,2,TEUSAQUILLO,4.642380141625382,-74.09092988143523,0.21,0.66,18.34,8.54,2.26,10.67,0.73,4,3,4,5,Bueno,Bajo,No,ENEL
6,2023,0.4581,1160000,2023EE73623,Manejo,SSFFS-73623,18208373168944,cajeto,Poda estabilidad,Privado,6,RAFAEL URIBE URIBE,4.580806916198038,-74.1126696807512,1.28,4.02,21.67,14.65,17.72,1.03,4.42,3,2,3,4,Regular,Medio,No,JBB
7,2021,0.4379,908526,2021EE03577,Emergencia,SSFFS-03577,14901298216684,balazo,Poda estabilidad,Publico,1,LOS MARTIRES,4.606996284899482,-74.0940685528079,0.04,0.13,1.0,0.15,1.0,2.0,0.14,3,2,3,4,Regular,Medio,No,JBB
8,2025,0.4745,1423500,2025EE58531,Manejo,SSFFS-58531,18325450379772,poligala,Traslado,Publico,5,RAFAEL URIBE URIBE,4.583938120864361,-74.1125578874733,0.3,0.94,3.31,1.79,0.76,2.59,1.04,4,4,5,4,Bueno,Bajo,Si,JBB
9,2021,0.4379,908526,2021EE91270,Infraestructura,SSFFS-91270,11646649015225,liquidambar,Tratamiento integral,Privado,1,SUBA,4.747261482718578,-74.08802502498233,0.72,2.26,5.74,3.62,4.26,2.6,2.49,2,2,2,2,Malo,Alto,No,IDU
10,2022,0.432,1000000,2022EE86642,Emergencia,SSFFS-86642,05334899583616,tibar,Poda realce,Privado,4,USME,4.365962539806746,-74.20415568029216,0.73,2.29,2.85,2.1,1.43,5.51,2.52,4,4,4,4,Bueno,Bajo,No,JBB
11,2022,0.432,1000000,2022EE34981,Emergencia,SSFFS-34981,14155213901606,cajeto garagay,Poda radicular,Privado,5,LOS MARTIRES,4.608557827797154,-74.08860091773167,32.65,102.57,7.71,0.16,7.04,8.01,112.83,4,4,2,4,Regular,Medio,Si,IDU
12,2023,0.4581,1160000,2023EE19752,Infraestructura,SSFFS-19752,16055867821420,schefflera pategallina hojigrande,Poda aclareo,Privado,2,PUENTE ARANDA,4.619768627497531,-74.09510171674287,1.12,3.52,19.59,9.77,1.76,7.72,3.87,4,3,4,5,Bueno,Bajo,No,OTRO
13,2021,0.4379,908526,2021EE40878,Infraestructura,SSFFS-40878,18446758133407,guamo santafereno,Tratamiento especial,Publico,1,RAFAEL URIBE URIBE,4.557538842056486,-74.10343352333841,1.14,3.58,6.8,0.64,5.17,11.65,3.94,3,3,3,2,Malo,Alto,No,ENEL
